userId,rating,tmdbId
1,2.5,9909
7,3.0,9909
31,4.0,9909
32,4.0,9909
36,3.0,9909
39,3.0,9909
73,3.5,9909
88,3.0,9909
96,2.5,9909
110,4.0,9909
111,3.5,9909
150,2.5,9909
161,3.0,9909
165,3.5,9909
186,3.0,9909
242,4.0,9909
254,3.0,9909
288,3.0,9909
310,1.5,9909
311,3.0,9909
325,4.5,9909
338,3.0,9909
341,4.5,9909
386,2.0,9909
394,2.0,9909
452,2.5,9909
457,1.5,9909
461,2.0,9909
468,1.5,9909
485,4.0,9909
487,5.0,9909
496,4.0,9909
511,4.0,9909
516,4.0,9909
525,4.0,9909
590,3.0,9909
596,3.0,9909
601,3.0,9909
607,3.5,9909
619,3.0,9909
639,3.0,9909
641,4.0,9909
1,3.0,11360
19,5.0,11360
35,1.5,11360
61,2.5,11360
73,3.0,11360
99,3.0,11360
102,5.0,11360
128,4.0,11360
175,4.0,11360
185,3.0,11360
188,5.0,11360
213,1.5,11360
214,3.0,11360
268,4.0,11360
294,3.0,11360
303,3.5,11360
311,3.0,11360
363,4.0,11360
387,5.0,11360
420,3.0,11360
442,4.0,11360
452,4.0,11360
466,5.0,11360
468,3.5,11360
471,3.5,11360
472,4.0,11360
514,3.0,11360
518,4.0,11360
529,3.0,11360
530,4.0,11360
547,5.0,11360
551,4.0,11360
564,5.0,11360
575,4.0,11360
577,4.5,11360
582,4.0,11360
602,3.0,11360
603,4.0,11360
605,4.0,11360
607,3.0,11360
646,4.0,11360
665,4.0,11360
1,3.0,819
19,3.0,819
23,3.5,819
30,3.0,819
70,5.0,819
73,4.0,819
90,4.0,819
102,2.0,819
105,4.0,819
119,4.0,819
141,3.0,819
150,3.0,819
165,2.5,819
212,4.0,819
233,3.0,819
252,3.0,819
292,4.0,819
306,3.0,819
318,3.0,819
325,3.5,819
380,4.0,819
452,3.0,819
461,4.0,819
507,2.0,819
509,4.0,819
518,5.0,819
534,4.0,819
537,5.0,819
584,4.5,819
608,3.0,819
641,4.0,819
647,4.0,819
665,3.0,819
1,2.0,1103
7,3.0,1103
19,3.0,1103
21,3.0,1103
30,3.0,1103
34,4.0,1103
41,4.5,1103
49,3.0,1103
57,3.0,1103
66,4.0,1103
73,4.0,1103
77,4.0,1103
103,2.5,1103
105,3.5,1103
118,3.0,1103
119,4.0,1103
155,4.0,1103
177,3.0,1103
195,1.0,1103
248,5.0,1103
276,4.0,1103
299,4.5,1103
311,1.5,1103
325,3.0,1103
346,4.0,1103
351,3.0,1103
353,2.0,1103
358,3.0,1103
380,4.0,1103
390,3.0,1103
423,4.0,1103
461,3.5,1103
463,3.0,1103
468,2.5,1103
472,4.0,1103
514,3.0,1103
516,3.0,1103
518,3.0,1103
522,4.0,1103
547,3.5,1103
564,4.0,1103
580,2.0,1103
585,3.0,1103
596,3.5,1103
597,4.0,1103
624,3.0,1103
634,3.0,1103
654,4.5,1103
1,4.0,11216
23,5.0,11216
38,4.5,11216
56,2.0,11216
94,3.5,11216
102,4.0,11216
119,4.0,11216
130,4.0,11216
133,5.0,11216
148,5.0,11216
198,3.5,11216
229,4.5,11216
232,2.0,11216
262,3.0,11216
280,5.0,11216
283,3.5,11216
306,4.0,11216
320,5.0,11216
321,5.0,11216
325,2.0,11216
330,5.0,11216
341,4.0,11216
358,5.0,11216
372,3.0,11216
373,5.0,11216
387,5.0,11216
391,5.0,11216
430,4.5,11216
441,5.0,11216
452,4.0,11216
460,3.5,11216
468,3.0,11216
472,4.0,11216
481,5.0,11216
497,5.0,11216
505,4.0,11216
509,4.0,11216
510,5.0,11216
521,5.0,11216
537,5.0,11216
539,5.0,11216
545,5.0,11216
547,5.0,11216
580,4.0,11216
585,5.0,11216
587,4.5,11216
1,2.0,11778
15,4.0,11778
17,4.5,11778
19,4.0,11778
21,4.0,11778
22,3.0,11778
23,3.0,11778
30,5.0,11778
34,4.0,11778
56,2.0,11778
57,5.0,11778
73,4.0,11778
102,5.0,11778
105,4.0,11778
152,3.5,11778
195,3.0,11778
232,5.0,11778
248,5.0,11778
257,4.0,11778
265,4.0,11778
303,4.0,11778
309,4.0,11778
344,5.0,11778
353,1.5,11778
370,4.0,11778
373,5.0,11778
380,4.0,11778
391,5.0,11778
394,0.5,11778
423,3.5,11778
434,4.0,11778
452,5.0,11778
457,4.0,11778
461,3.0,11778
468,4.0,11778
472,2.0,11778
509,5.0,11778
527,4.5,11778
533,3.0,11778
547,5.0,11778
564,4.0,11778
577,5.0,11778
585,4.0,11778
587,5.0,11778
592,2.0,11778
647,5.0,11778
648,2.0,11778
661,4.5,11778
1,2.0,665
7,4.0,665
15,2.0,665
19,4.0,665
21,5.0,665
23,4.0,665
34,5.0,665
49,5.0,665
102,4.0,665
119,5.0,665
137,5.0,665
195,5.0,665
207,0.5,665
212,3.5,665
229,5.0,665
232,4.0,665
311,4.0,665
313,5.0,665
326,3.0,665
335,3.0,665
346,2.0,665
358,4.0,665
363,5.0,665
387,3.0,665
388,5.0,665
390,3.0,665
391,4.0,665
404,5.0,665
405,4.5,665
434,5.0,665
452,3.0,665
461,4.0,665
466,4.0,665
468,2.5,665
470,3.0,665
488,3.5,665
505,3.5,665
529,2.0,665
559,5.0,665
575,3.0,665
577,5.0,665
585,5.0,665
587,5.0,665
596,4.0,665
598,4.0,665
605,4.0,665
1,2.0,783
15,4.0,783
20,3.5,783
23,5.0,783
48,4.0,783
73,4.5,783
78,5.0,783
88,4.0,783
102,5.0,783
119,4.0,783
130,4.0,783
195,4.0,783
211,5.0,783
212,4.0,783
232,5.0,783
236,3.0,783
265,4.0,783
281,4.5,783
283,4.5,783
309,5.0,783
311,5.0,783
335,4.5,783
353,2.0,783
387,3.0,783
388,4.5,783
391,4.0,783
394,1.5,783
419,4.5,783
434,2.0,783
452,4.0,783
468,3.5,783
497,4.0,783
505,3.5,783
527,2.5,783
529,4.0,783
532,4.5,783
539,3.0,783
545,5.0,783
547,5.0,783
564,4.0,783
575,4.0,783
576,5.0,783
587,5.0,783
601,4.5,783
607,3.5,783
634,3.0,783
1,3.5,6114
15,2.0,6114
19,3.0,6114
22,4.5,6114
30,4.0,6114
34,4.0,6114
73,3.0,6114
81,1.5,6114
95,5.0,6114
102,3.0,6114
103,3.5,6114
119,5.0,6114
130,2.0,6114
195,4.0,6114
207,4.0,6114
243,4.5,6114
247,4.0,6114
285,3.0,6114
290,4.5,6114
294,3.0,6114
297,4.5,6114
300,3.0,6114
308,1.0,6114
310,3.5,6114
312,4.0,6114
325,2.5,6114
337,1.0,6114
358,1.0,6114
362,4.5,6114
380,3.5,6114
388,3.0,6114
403,5.0,6114
463,4.0,6114
468,2.5,6114
470,2.5,6114
472,1.0,6114
509,2.0,6114
514,3.0,6114
518,3.0,6114
529,3.0,6114
534,4.0,6114
560,3.0,6114
562,3.5,6114
564,3.0,6114
575,4.0,6114
580,3.0,6114
614,4.0,6114
617,4.0,6114
618,4.0,6114
658,4.0,6114
664,3.5,6114
665,3.0,6114
1,2.0,1598
19,4.0,1598
23,4.0,1598
27,4.0,1598
30,5.0,1598
73,4.0,1598
120,3.5,1598
177,3.0,1598
207,5.0,1598
214,5.0,1598
242,4.0,1598
262,2.0,1598
291,4.5,1598
299,4.0,1598
306,4.0,1598
311,2.0,1598
341,4.0,1598
342,4.0,1598
344,3.0,1598
388,2.0,1598
403,4.0,1598
407,3.0,1598
452,4.0,1598
457,4.0,1598
463,4.0,1598
514,4.0,1598
518,3.0,1598
529,5.0,1598
534,4.0,1598
547,4.0,1598
564,4.0,1598
580,3.5,1598
596,3.5,1598
605,3.0,1598
607,3.0,1598
613,4.0,1598
624,5.0,1598
647,4.0,1598
654,4.0,1598
1,2.5,152
4,4.0,152
7,3.0,152
19,4.0,152
21,3.0,152
22,2.0,152
41,3.5,152
78,4.0,152
118,3.0,152
130,3.0,152
150,2.5,152
202,4.0,152
207,0.5,152
217,4.5,152
232,4.0,152
281,4.0,152
285,3.0,152
290,4.0,152
310,1.0,152
311,3.0,152
325,3.5,152
346,3.0,152
363,2.0,152
370,3.5,152
390,3.0,152
439,1.0,152
458,3.5,152
463,3.0,152
466,3.0,152
477,5.0,152
509,3.0,152
514,4.0,152
518,3.0,152
527,4.0,152
529,2.0,152
533,3.0,152
546,4.5,152
547,1.0,152
564,4.0,152
574,3.0,152
575,1.0,152
580,2.5,152
592,1.0,152
607,4.0,152
624,3.0,152
634,3.5,152
654,4.0,152
1,1.0,3179
7,5.0,3179
15,3.0,3179
19,3.0,3179
25,3.0,3179
26,1.5,3179
73,3.5,3179
87,2.0,3179
102,4.0,3179
150,3.0,3179
154,4.0,3179
165,4.0,3179
198,3.0,3179
207,2.5,3179
224,4.0,3179
247,3.0,3179
285,2.0,3179
306,4.0,3179
312,3.0,3179
361,3.0,3179
380,3.0,3179
384,3.0,3179
388,3.0,3179
390,1.0,3179
420,1.0,3179
423,3.5,3179
428,3.0,3179
457,2.5,3179
461,2.0,3179
468,3.0,3179
472,3.0,3179
502,3.0,3179
509,2.5,3179
534,5.0,3179
547,4.0,3179
564,4.0,3179
580,1.5,3179
586,4.0,3179
605,3.0,3179
606,3.0,3179
607,3.5,3179
617,2.0,3179
624,4.0,3179
634,3.0,3179
654,4.5,3179
664,3.0,3179
1,4.0,1051
4,5.0,1051
15,3.0,1051
23,3.0,1051
30,4.0,1051
56,4.0,1051
57,5.0,1051
73,3.5,1051
102,5.0,1051
105,3.5,1051
118,4.0,1051
119,4.0,1051
195,3.0,1051
202,4.0,1051
214,5.0,1051
220,3.0,1051
232,5.0,1051
242,5.0,1051
265,4.0,1051
311,3.5,1051
342,4.0,1051
358,3.0,1051
360,3.0,1051
387,5.0,1051
405,4.5,1051
423,3.5,1051
431,3.0,1051
436,4.0,1051
452,4.0,1051
457,3.5,1051
468,3.0,1051
472,5.0,1051
509,3.0,1051
510,4.0,1051
520,4.0,1051
529,3.0,1051
547,5.0,1051
564,4.0,1051
574,4.0,1051
585,5.0,1051
587,4.0,1051
594,5.0,1051
605,4.0,1051
608,5.0,1051
624,5.0,1051
669,4.0,1051
1,4.0,97
4,4.0,97
15,4.0,97
30,2.0,97
34,4.0,97
35,3.5,97
41,5.0,97
49,3.0,97
59,1.0,97
73,3.0,97
77,4.0,97
95,3.0,97
102,3.0,97
119,3.0,97
130,4.0,97
185,3.0,97
195,3.0,97
197,5.0,97
212,3.0,97
214,4.0,97
232,5.0,97
257,1.0,97
285,3.0,97
287,4.0,97
294,3.5,97
312,4.0,97
328,3.0,97
346,5.0,97
363,3.0,97
380,4.0,97
401,4.0,97
461,2.5,97
463,4.0,97
468,3.0,97
470,3.0,97
497,1.0,97
509,3.0,97
518,3.0,97
525,4.0,97
533,4.0,97
561,4.5,97
564,4.0,97
575,4.0,97
577,4.0,97
580,4.0,97
624,4.0,97
654,3.5,97
1,3.0,8393
15,3.0,8393
43,3.0,8393
54,4.0,8393
73,3.0,8393
79,0.5,8393
130,4.0,8393
177,4.0,8393
195,2.0,8393
232,5.0,8393
294,4.0,8393
311,3.5,8393
350,4.0,8393
358,3.0,8393
